name,type,value,date
传奇的灾难,216000,1,2017-05-19
夏一可,290000,3,2017-05-20
我家的脑洞君,20000,1,2017-05-25
夏一可,203000,4,2017-05-29
清云灯,28000,1,2017-05-30
夏一可,150000,5,2017-06-01
夏一可,168000,6,2017-06-08
夏一可,175000,7,2017-06-12
亚泽Eric,9351,7,2017-06-13
夏一可,190000,8,2017-06-15
路过木木,28000,1,2017-06-15
刀疤浩,319000,1,2017-06-16
刀疤浩,319000,2,2017-06-16
刀疤浩,319000,3,2017-06-16
淘气的穆穆,195000,1,2017-06-18
夏一可,177000,9,2017-06-21
传奇的灾难,169000,2,2017-06-21
夏一可,143000,10,2017-06-21
伯生活,111000,1,2017-06-22
伯生活,37000,2,2017-06-22
夏一可,306000,11,2017-06-23
我是海带带带带,31000,1,2017-06-23
夏一可,306000,12,2017-06-23
疾风小怪兽,53000,6,2017-06-24
亚泽Eric,14000,8,2017-06-27
亚泽Eric,14000,9,2017-07-04
么么就最好,135000,1,2017-07-12
亚泽Eric,28000,10,2017-07-13
TYT少壮派,253000,1,2017-07-17
TYT少壮派,216000,2,2017-07-19
圣光剑男春,18000,1,2017-07-19
TYT少壮派,185000,3,2017-07-20
我爱吃巴豆,15000,1,2017-07-21
scolourful,18000,1,2017-07-22
痞子老九,21000,1,2017-07-24
疾风小怪兽,78000,7,2017-07-24
亚泽Eric,16000,11,2017-07-24
失落の空间,167000,1,2017-07-31
失落の空间,167000,2,2017-07-31
Exelan,130000,7,2017-08-03
scolourful,20000,2,2017-08-05
亚泽Eric,16000,12,2017-08-05
scolourful,15000,3,2017-08-11
protoss020,64000,1,2017-08-14
米米Mxmimi,17000,1,2017-08-15
_DVA_,9367,1,2017-08-18
网易暴雪游戏视频,164000,6,2017-08-24
网易暴雪游戏视频,151000,7,2017-08-24
柚子木字幕组,14000,4,2017-08-27
Exelan,236000,8,2017-08-30
剑雨秋河,21000,1,2017-09-02
完美国度Vs,81000,1,2017-09-04
亚泽Eric,8419,13,2017-09-04
pioneer戴腾飞,22000,1,2017-09-05
亚泽Eric,8654,14,2017-09-09
夜深梦成魇,31000,1,2017-09-12
夜深梦成魇,14000,2,2017-09-14
九玖酱哟,88000,1,2017-09-15
醋僧啊白,19000,1,2017-09-15
夏一可,258000,13,2017-09-16
夏一可,258000,14,2017-09-16
夜深梦成魇,105000,3,2017-09-17
暴走的屌丝,357000,1,2017-09-18
亚泽Eric,9500,15,2017-09-18
暴走的屌丝,357000,2,2017-09-18
中二兔九哥,32000,1,2017-09-22
夏一可,191000,15,2017-09-23
疾风小怪兽,71000,8,2017-09-24
AlanYang杨阿兰,9817,1,2017-09-24
亚泽Eric,11000,16,2017-09-25
XaviusS,14000,1,2017-09-29
喃兑啊内,297000,43,2017-09-29
亚泽Eric,7421,17,2017-10-02
夏一可,176000,16,2017-10-05
落幕繁华丶,11000,1,2017-10-05
夏一可,158000,17,2017-10-08
亚泽Eric,7187,18,2017-10-09
夏一可,134000,18,2017-10-15
亚泽Eric,10000,19,2017-10-17
苇河组少主新田义史,26000,1,2017-10-18
XCin_,54000,1,2017-10-21
极客鞋谈,77000,1,2017-10-23
亚泽Eric,12000,20,2017-10-23
夏一可,132000,19,2017-10-25
救人Fuze左轮医生,17000,1,2017-10-28
六尾狐Carey,9506,1,2017-10-29
夏一可,159000,20,2017-10-30
亚泽Eric,8064,21,2017-10-30
骑着草泥马的迈克,5001,1,2017-10-31
马鞍山小银枪,19000,1,2017-11-02
马鞍山小银枪,18000,2,2017-11-02
马鞍山小银枪,16000,3,2017-11-02
iiidgaf,13000,1,2017-11-02
bobbytables,38000,1,2017-11-03
亚泽Eric,7301,22,2017-11-03
网易暴雪游戏视频,1390000,8,2017-11-04
三棵树下老科学,292000,2,2017-11-04
铎次元,315000,1,2017-11-04
丧心病狂的神大人K,264000,1,2017-11-04
网易暴雪游戏视频,199000,9,2017-11-04
网易暴雪游戏视频,172000,10,2017-11-04
游民星空官方,144000,1,2017-11-04
断月苍穹,120000,1,2017-11-04
白白丨白酱油,136000,1,2017-11-04
浪哥1977,109000,1,2017-11-04
铎次元,315000,2,2017-11-04
游民星空官方,56000,2,2017-11-04
游民星空官方,23000,3,2017-11-04
腹黑の折耳猫,14000,1,2017-11-04
NGA玩家社区,340000,1,2017-11-04
网易暴雪游戏视频,1390000,11,2017-11-04
喃兑啊内,640000,44,2017-11-04
铎次元,315000,3,2017-11-04
三棵树下老科学,292000,3,2017-11-04
丧心病狂的神大人K,264000,2,2017-11-04
夏一可,159000,21,2017-11-05
羿神射,92000,1,2017-11-07
三棵树下老科学,138000,4,2017-11-07
风摇青玉落成诗,319000,1,2017-11-08
枫潇潇135,26000,1,2017-11-08
NGA玩家社区,683000,2,2017-11-08
风摇青玉落成诗,319000,2,2017-11-08
梅花鹿奶糖,36000,1,2017-11-09
咕噜噜风小间,470000,1,2017-11-10
就想发句弹幕,132000,2,2017-11-13
亚泽Eric,18000,23,2017-11-13
XCin_,80000,2,2017-11-14
咕噜噜风小间,12000,2,2017-11-16
ULSUM官方,14000,1,2017-11-18
夏一可,180000,22,2017-11-20
撕瓜君Sega,25000,1,2017-11-20
好奇新报告,92000,1,2017-11-22
亚泽Eric,11000,24,2017-11-23
鱼放送,11000,1,2017-11-23
夏一可,129000,23,2017-11-24
三棵树下老科学,256000,5,2017-11-29
夏一可,211000,24,2017-11-29
Exelan,216000,9,2017-11-29
亚泽Eric,8173,25,2017-11-29
三棵树下老科学,256000,6,2017-11-29
喃兑啊内,334000,45,2017-11-29
混剪晓佳,319000,1,2017-11-30
混剪晓佳,319000,2,2017-11-30
茶壶呀,720000,1,2017-12-04
茶壶呀,720000,2,2017-12-04
亚泽Eric,9531,26,2017-12-04
茶壶呀,720000,3,2017-12-04
止水湖的止水,152000,1,2017-12-05
AudreyYLW,36000,1,2017-12-06
AmazedX,196000,1,2017-12-07
Abn0man,16000,1,2017-12-07
微笑_幻,14000,1,2017-12-11
亚泽Eric,7078,27,2017-12-11
爱睡觉の呆呆兽,393000,1,2017-12-11
泡吧TV,32000,1,2017-12-12
糖炒痞子,134000,1,2017-12-14
泡吧TV,173000,2,2017-12-15
治不好的钉宫癌丶,278000,1,2017-12-15
亚泽Eric,9077,28,2017-12-25
David_Shih,30000,1,2017-12-26
亚泽Eric,12000,29,2017-12-31
大胖OR小胖,12000,1,2018-01-01
惟奕Sve,9230,1,2018-01-02
熊猫大佬的不朽缰绳,394000,1,2018-01-03
来烤乳猪嗎,43000,1,2018-01-03
来烤乳猪嗎,48000,2,2018-01-03
大胖OR小胖,15000,2,2018-01-03
熊猫大佬的不朽缰绳,394000,2,2018-01-03
挥刀的刺客君,228000,1,2018-01-04
轻十月,189000,1,2018-01-05
Exelan,193000,10,2018-01-06
千禧公园,32000,1,2018-01-06
叫我棉被,129000,1,2018-01-07
亚泽Eric,12000,30,2018-01-08
哔哩哔哩游戏中心,426000,1,2018-01-11
夜袭yEx1,26000,1,2018-01-13
千葉型DJ,437000,1,2018-01-13
亚泽Eric,14000,31,2018-01-17
ROGERprod,47000,1,2018-01-20
I青乔I,23000,1,2018-01-22
亚泽Eric,14000,32,2018-01-22
无才说,29000,1,2018-01-26
CGIDEA,117000,1,2018-01-27
三只棕熊,17000,1,2018-01-27
陌無欺Ankh,249000,1,2018-01-27
亚泽Eric,20000,33,2018-01-29
沼泽林夕,128000,1,2018-02-02
刘海帅气男孩,545000,1,2018-02-04
铭记未来P,17000,1,2018-02-06
亚泽Eric,9051,34,2018-02-06
熊猫大佬的不朽缰绳,144000,3,2018-02-11
喃兑啊内,47000,46,2018-02-13
鼻子上的蚂蚁AoN,91000,2,2018-02-14
Jamejobs尚帝,15000,1,2018-02-15
千禧公园,60000,2,2018-02-22
魑魅小黑,843000,1,2018-02-23
诡家族长,9850,1,2018-02-23
泡吧TV,40000,3,2018-02-27
泡吧TV,74000,4,2018-03-01
KanaheiWu,13000,1,2018-03-01
游宝物,128000,1,2018-03-01
Takumi86brz,24000,1,2018-03-03
Takumi86brz,23000,2,2018-03-04
亚泽Eric,7568,35,2018-03-05
炉石传说控,156000,1,2018-03-07
OST好评,44000,1,2018-03-07
乐仔V,93000,1,2018-03-11
蓝礼y,11000,1,2018-03-12
网易爱玩网,20000,1,2018-03-16
钟小苗,43000,1,2018-03-17
三棵树下老科学,325000,7,2018-03-17
泡吧TV,153000,5,2018-03-20
鼻子上的蚂蚁AoN,88000,3,2018-03-22
柔弱无锋,10000,1,2018-03-22
三棵树下老科学,155000,8,2018-03-24
两.仪.织,85000,1,2018-03-30
诙谐的小伙伴,12000,1,2018-04-01
红烧小茄子丶,182000,1,2018-04-02
红烧小茄子丶,182000,2,2018-04-02
柔弱无锋,11000,2,2018-04-03
红烧小茄子丶,53000,3,2018-04-04
散尽尐余温,36000,1,2018-04-04
三棵树下老科学,138000,9,2018-04-05
熊猫大佬的不朽缰绳,168000,4,2018-04-05
泡吧TV,19000,6,2018-04-05
熊猫大佬的不朽缰绳,168000,5,2018-04-05
游民星空官方,57000,4,2018-04-06
鼻子上的蚂蚁AoN,178000,4,2018-04-06
喃兑啊内,11000,47,2018-04-07
好好吃短视频,6661,1,2018-04-09
仙本娜Semporna,410000,1,2018-04-10
柔弱无锋,18000,3,2018-04-14
亚泽Eric,7659,36,2018-04-14
SneakersTV,12000,1,2018-04-14
銀の契約者,106000,1,2018-04-16
Jamejobs尚帝,14000,2,2018-04-17
泡吧TV,21000,7,2018-04-19
小口八,9979,1,2018-04-19
Fly的大狗,207000,1,2018-04-21
BPB工作室,180000,1,2018-04-26
llll_ddld,9093,1,2018-04-27
东风洗脚盆,118000,1,2018-04-28
东风洗脚盆,118000,2,2018-04-28
时过人迁小六,201000,1,2018-04-29
亚泽Eric,7273,37,2018-04-29
时过人迁小六,201000,2,2018-04-29
卡德加不在家,79000,1,2018-05-02
啸山林虎,23000,1,2018-05-02
三棵树下老科学,264000,10,2018-05-06
熊猫大佬的不朽缰绳,87000,6,2018-05-06
流云渡水,28000,1,2018-05-06
三棵树下老科学,264000,11,2018-05-06
西法喵,2742,1,2018-05-07
JK甜酒果一生摯AI,8045,1,2018-05-07
亚泽Eric,6107,38,2018-05-09
泡吧TV,190000,8,2018-05-10
张新村,196000,1,2018-05-12
一个只传足球篮球的up,210000,1,2018-05-12
张新村,196000,2,2018-05-12
黒蓮陆也,96000,1,2018-05-16
麦克疯说电影,174000,1,2018-05-16
凛冽寒风5866,133000,1,2018-05-19
亚泽Eric,8565,39,2018-05-21
凉凉欧巴,21000,1,2018-05-28
亚泽Eric,5801,40,2018-05-29
也君GodBlossom,8800,1,2018-05-31
李呼一的眼褶子,15000,1,2018-06-03
苏醒的小土豆,29000,1,2018-06-05
亚泽Eric,7678,41,2018-06-05
Alph流火,8714,1,2018-06-05
三棵树下老科学,273000,12,2018-06-07
三棵树下老科学,131000,13,2018-06-07
JK甜酒果一生摯AI,88000,2,2018-06-07
三棵树下老科学,273000,14,2018-06-07
WSasdfh炮猫,90000,1,2018-06-08
魔兽后裔会长110,179000,1,2018-06-09
鼻子上的蚂蚁AoN,150000,5,2018-06-10
木子与弓长252,63000,1,2018-06-13
木子与弓长252,63000,2,2018-06-13
小哥你好赞,10000,1,2018-06-13
Apathy丶清梦,122000,1,2018-06-14
草莓叶mua,66000,1,2018-06-17
唐川大挑战,11000,1,2018-06-18
小鲜在江湖,51000,1,2018-06-20
今晚吃魔王,333000,1,2018-06-21
耳东东陈陈,35000,1,2018-06-22
凤凰科技,20000,1,2018-06-22
DIY纸板达人,7967,1,2018-06-22
DIY纸板达人,25000,2,2018-06-23
DIY纸板达人,20000,3,2018-06-23
龙背上の膝盖君,143000,1,2018-06-25
DIY纸板达人,18000,4,2018-06-26
亚泽Eric,7688,42,2018-06-28
夏一可,1301000,25,2018-06-29
夏一可,1301000,26,2018-06-29
燃烧的熊猫yo,94000,1,2018-07-01
亚泽Eric,13000,43,2018-07-05
水爱,9536,1,2018-07-07
请叫我昃学家,224000,1,2018-07-07
静静的DVA,32000,1,2018-07-10
亚泽Eric,7944,44,2018-07-12
网易暴雪游戏视频,80000,12,2018-07-13
sostitanshenyao,19000,1,2018-07-13
期盼着明天,131000,1,2018-07-15
璐希菲爾,10000,1,2018-07-15
期盼着明天,131000,2,2018-07-15
熊猫大佬的不朽缰绳,214000,7,2018-07-15
阿尔利丹-地狱咆哮,206000,1,2018-07-16
阿尔利丹-地狱咆哮,149000,2,2018-07-16
璐希菲爾,12000,2,2018-07-16
阿尔利丹-地狱咆哮,206000,3,2018-07-16
网易暴雪游戏视频,100000,13,2018-07-17
魔兽世界中文维基,103000,1,2018-07-17
诙谐的小伙伴,83000,2,2018-07-17
魔兽后裔会长110,324000,2,2018-07-17
礼我说,91000,1,2018-07-18
微笑的阿諾,105000,1,2018-07-18
萝芙薇娅,337000,1,2018-07-19
糖炒痞子,118000,2,2018-07-19
狞獾级,104000,1,2018-07-19
SOLE履程,34000,1,2018-07-19
KanaheiWu,9361,2,2018-07-19
萝芙薇娅,337000,2,2018-07-19
龙背上の膝盖君,262000,2,2018-07-20
Tdogegg,38000,1,2018-07-20
揉瓶子Official,34000,1,2018-07-20
璐希菲爾,7909,3,2018-07-20
龙背上の膝盖君,262000,3,2018-07-20
糖炒痞子,271000,3,2018-07-21
妖怪目,67000,1,2018-07-21
糖炒痞子,271000,4,2018-07-21
文游两开花,151000,1,2018-07-22
文游两开花,39000,2,2018-07-22
璐希菲爾,15000,4,2018-07-22
文游两开花,151000,3,2018-07-22
糖炒痞子,272000,5,2018-07-23
幻海幽幽,41000,1,2018-07-23
亚泽Eric,8167,45,2018-07-23
08HJ,3936,1,2018-07-23
M4与烧火棍,7503,1,2018-07-23
糖炒痞子,272000,6,2018-07-23
Muskle,429000,1,2018-07-24
龙背上の膝盖君,98000,4,2018-07-24
卡德加不在家,86000,2,2018-07-24
Muskle,429000,2,2018-07-24
Chan筱,496000,1,2018-07-25
揉瓶子Official,14000,2,2018-07-25
Chan筱,496000,2,2018-07-25
妖怪目,232000,2,2018-07-26
网易暴雪游戏视频,72000,14,2018-07-26
一手电竞报,77000,1,2018-07-26
dynamas,27000,1,2018-07-26
dynamas,12000,2,2018-07-26
妖怪目,232000,3,2018-07-26
糖炒痞子,410000,7,2018-07-27
幻羽辰空,76000,1,2018-07-27
豆瓣火箭少女研究所,72000,1,2018-07-27
Aerkaluodes,28000,1,2018-07-27
果果若是师某人,31000,1,2018-07-27
牧夏MUXIA,24000,1,2018-07-27
揉瓶子Official,13000,3,2018-07-27
糖炒痞子,410000,8,2018-07-27
牧夏MUXIA,8293,2,2018-07-28
揉瓶子Official,7221,4,2018-07-28
M恩赐解脱C,99000,1,2018-07-29
果果若是师某人,11000,2,2018-07-29
法尔·重炮,7366,1,2018-07-29
莉莎娜,433000,1,2018-07-29
阿尔托利亚一潘德拉贡,103000,1,2018-07-29
小强凌凌柒,431000,1,2018-07-29
揉瓶子Official,16000,5,2018-07-30
M恩赐解脱C,21000,2,2018-07-31
揉瓶子Official,8951,6,2018-07-31
AneMoeMian,78000,1,2018-08-01
熊猫大佬的不朽缰绳,143000,8,2018-08-01
丨Minge,172000,1,2018-08-02
丧心病狂的神大人K,92000,3,2018-08-02
网易暴雪游戏视频,80000,15,2018-08-02
Moodybluess,53000,1,2018-08-02
丨Minge,172000,2,2018-08-02
网易暴雪游戏视频,663000,16,2018-08-03
空零不改名,115000,1,2018-08-03
亚尔维,61000,1,2018-08-03
了不起的埃斯比,15000,1,2018-08-03
网易暴雪游戏视频,663000,17,2018-08-03
熊猫大佬的不朽缰绳,166000,9,2018-08-03
爽扬Soyoung,6452,1,2018-08-04
kazenolalalala,99000,1,2018-08-05
哎呀淞淞,190000,1,2018-08-05
主播圈事件,79000,1,2018-08-05
李家贰少奶奶,65000,1,2018-08-05
揉瓶子Official,10000,7,2018-08-05
哎呀淞淞,190000,2,2018-08-05
普通直拳,132000,1,2018-08-06
龙背上の膝盖君,116000,5,2018-08-06
4K游戏频道,38000,1,2018-08-06
M恩赐解脱C,12000,3,2018-08-06
普通直拳,132000,2,2018-08-06
白河s,140000,1,2018-08-07
StandByYourSide,184000,1,2018-08-07
迷妹本妹,30000,1,2018-08-07
三棵树下老科学,445000,15,2018-08-08
李家贰少奶奶,57000,2,2018-08-08
鼻子上的蚂蚁AoN,53000,6,2018-08-08
揉瓶子Official,12000,8,2018-08-08
三棵树下老科学,445000,16,2018-08-08
是阿狸呀,161000,1,2018-08-08
YellowDi,94000,1,2018-08-09
网易暴雪游戏视频,109000,18,2018-08-09
傲幽,45000,1,2018-08-09
九点一十二,65000,1,2018-08-10
武卫karasu,11000,1,2018-08-12
夏一可,329000,27,2018-08-12
惑月流年_,69000,1,2018-08-12
暴风铁卫,83000,1,2018-08-13
假面骑士小梦,71000,1,2018-08-13
霹蛋精,64000,1,2018-08-13
鼻子上的蚂蚁AoN,236000,7,2018-08-14
